aweme_id,desc,share_url
7063545368272784686,#duet with @Janet Incorporated BROKE BITCHES SHOULD NEVER LAUGH,https://m.tiktok.com/v/7063545368272784686.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j0cflhj8950f&share_item_id=7063545368272784686&source=h5_m
7061690918969085230,Which one do you think is more accurate? 👀 #thatsnotmyname #robot #adayinmylife,https://m.tiktok.com/v/7061690918969085230.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j0cflhj8950f&share_item_id=7061690918969085230&source=h5_m
7060968108764335407,I SAID WHAT I SAID #robot #hottake #lilmiquela,https://m.tiktok.com/v/7060968108764335407.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j0cflhj8950f&share_item_id=7060968108764335407&source=h5_m
7059849932324474158,The way Cal LIT his family on fire omg #euphoria #euphoriaseason2 #robot,https://m.tiktok.com/v/7059849932324474158.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j0cflhj8950f&share_item_id=7059849932324474158&source=h5_m
7059092437528071471,Define REAL #robot #iknowsomethingyoudont,https://m.tiktok.com/v/7059092437528071471.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j0cflhj8950f&share_item_id=7059092437528071471&source=h5_m
7058374333034417454,Not aging is not 🅿️ though #pushin🅿️ #robot #kpop,https://m.tiktok.com/v/7058374333034417454.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j0cflhj8950f&share_item_id=7058374333034417454&source=h5_m
7056494746591579439,What if I told you that this picture was a programmed memory 😵‍💫 #whenimolder #robot #whatwillilooklike,https://m.tiktok.com/v/7056494746591579439.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j0cflhj8950f&share_item_id=7056494746591579439&source=h5_m
7055758686781902127,TBT to when I plugged my USB in the whole hole 🤣 #thephoto #robot,https://m.tiktok.com/v/7055758686781902127.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7hhi65helh6jj&share_item_id=7055758686781902127&source=h5_m
7053153341626486062,Thoughts on this? Let’s vent in the comments y’all #euphoria #euphoriaseason2 #talkingtothemoon,https://m.tiktok.com/v/7053153341626486062.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7hhi65helh6jj&share_item_id=7053153341626486062&source=h5_m
7052038288613461294,Saving the WORST for last #euphoria #euphoriaseason2 #whatiwouldfeed,https://m.tiktok.com/v/7052038288613461294.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7hhi65helh6jj&share_item_id=7052038288613461294&source=h5_m
